Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
June 30 2020,Pend Oreille,WA,Passenger,7,6,13,9241,9254,0.14
July 31 2017,Columbia,WA,Truck,0,0,0,1533,1533,0.00
June 30 2017,Okaloosa,FL,Passenger,1,0,1,185,186,0.54
December 31 2021,Stafford,VA,Passenger,2,1,3,94,97,3.09
March 31 2022,Camden,NJ,Passenger,0,1,1,13,14,7.14
October 31 2019,Franklin,MA,Passenger,0,1,1,1,2,50.00
November 30 2021,Harrison,MS,Passenger,2,0,2,46,48,4.17
December 31 2022,DuPage,IL,Passenger,0,1,1,37,38,2.63
May 31 2021,Jefferson,WA,Truck,0,0,0,9615,9615,0.00
October 31 2017,,,Passenger,3,0,3,443,446,0.67
January 31 2019,Sumter,FL,Passenger,0,1,1,10,11,9.09
April 30 2023,San Bernardino,CA,Passenger,2,1,3,260,263,1.14
June 30 2019,Pend Oreille,WA,Truck,0,0,0,5731,5731,0.00
November 30 2017,Alameda,CA,Passenger,0,1,1,356,357,0.28
August 31 2022,Stafford,VA,Passenger,2,1,3,85,88,3.41
May 31 2021,Clark,WA,Truck,0,0,0,84179,84179,0.00
June 30 2017,Okanogan,WA,Truck,0,0,0,16203,16203,0.00
March 31 2018,Alameda,CA,Passenger,0,1,1,356,357,0.28
February 28 2021,Harris,TX,Passenger,1,1,2,213,215,0.93
December 31 2021,Essex,NJ,Passenger,2,0,2,11,13,15.38
June 30 2020,Brevard,FL,Passenger,0,1,1,85,86,1.16
July 31 2022,Randolph,NC,Passenger,1,0,1,5,6,16.67
April 30 2018,Montgomery,MD,Passenger,1,0,1,297,298,0.34
November 30 2021,Columbia,WA,Truck,0,0,0,1551,1551,0.00
March 31 2021,Skamania,WA,Truck,0,0,0,4025,4025,0.00
November 30 2022,St. Louis,MO,Passenger,2,0,2,55,57,3.51
October 31 2021,Klickitat,WA,Truck,0,0,0,8314,8314,0.00
October 31 2021,Charles,MD,Passenger,1,1,2,71,73,2.74
September 30 2022,Asotin,WA,Passenger,25,19,44,12598,12642,0.35
January 31 2023,St. Tammany,LA,Passenger,1,0,1,32,33,3.03
August 31 2023,Skamania,WA,Truck,1,0,1,3741,3742,0.03
April 30 2019,Alexandria,VA,Passenger,1,0,1,153,154,0.65
June 30 2022,Harrison,MS,Passenger,1,0,1,42,43,2.33
November 30 2018,Douglas,WA,Passenger,49,33,82,27968,28050,0.29
May 31 2017,Harnett,NC,Passenger,1,0,1,267,268,0.37
October 31 2018,Jefferson,WA,Truck,0,0,0,9610,9610,0.00
December 31 2020,Ada,ID,Passenger,0,1,1,254,255,0.39
August 31 2022,Solano,CA,Passenger,2,0,2,159,161,1.24
January 31 2018,Manassas,VA,Passenger,0,1,1,9,10,10.00
March 31 2017,Spokane,WA,Passenger,232,202,434,295445,295879,0.15
November 30 2022,Arapahoe,CO,Passenger,0,1,1,77,78,1.28
January 31 2017,Clallam,WA,Truck,0,0,0,21041,21041,0.00
April 30 2018,Asotin,WA,Truck,0,0,0,6593,6593,0.00
December 31 2021,Gwinnett,GA,Passenger,1,0,1,59,60,1.67
March 31 2021,Lane,OR,Passenger,0,2,2,132,134,1.49
September 30 2019,Frederick,MD,Passenger,1,1,2,82,84,2.38
August 31 2022,Currituck,NC,Passenger,1,0,1,17,18,5.56
May 31 2020,Vigo,IN,Passenger,1,0,1,5,6,16.67
