Date,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs)
2017-01,14453,7535
2017-04,15791,8120
2017-07,16984,8752
2017-10,18124,9451
2018-01,19318,10326
2018-04,20505,11290
2018-07,22497,12408
2018-10,25003,13384
2019-01,28581,14421
2019-04,30464,14949
2019-07,32939,15685
2019-10,36004,16375
2020-01,39107,16907
2020-04,40629,17113
2020-07,42262,17334
2020-10,44414,17935
2021-01,48122,18733
2021-04,51651,19824
2021-07,56045,21208
2021-10,60482,22356
2022-01,65186,23377
2022-04,70756,24473
2022-07,76155,25749
2022-10,83000,26883
2023-01,91630,28168
2023-04,99777,30277
2023-07,110053,32440
