id,state,county,rate
53001,Washington,Adams County,43
53003,Washington,Asotin County,65
53005,Washington,Benton County,1860
53007,Washington,Chelan County,892
53009,Washington,Clallam County,929
53011,Washington,Clark County,9061
53013,Washington,Columbia County,17
53015,Washington,Cowlitz County,780
53017,Washington,Douglas County,304
53019,Washington,Ferry County,26
53021,Washington,Franklin County,515
53023,Washington,Garfield County,3
53025,Washington,Grant County,480
53027,Washington,Grays Harbor County,544
53029,Washington,Island County,1673
53031,Washington,Jefferson County,886
53033,Washington,King County,80637
53035,Washington,Kitsap County,5079
53037,Washington,Kittitas County,512
53039,Washington,Klickitat County,254
53041,Washington,Lewis County,634
53043,Washington,Lincoln County,40
53045,Washington,Mason County,717
53047,Washington,Okanogan County,212
53049,Washington,Pacific County,182
53051,Washington,Pend Oreille County,46
53053,Washington,Pierce County,11804
53055,Washington,San Juan County,865
53057,Washington,Skagit County,1713
53059,Washington,Skamania County,167
53061,Washington,Snohomish County,17727
53063,Washington,Spokane County,3820
53065,Washington,Stevens County,195
53067,Washington,Thurston County,5514
53069,Washington,Wahkiakum County,51
53071,Washington,Walla Walla County,376
53073,Washington,Whatcom County,3747
53075,Washington,Whitman County,273
53077,Washington,Yakima County,844
